date;day_text;note
2018-01-02;\FullMoon;
2018-01-08;\LastQuarter;
2018-01-17;\NewMoon;
2018-01-24;\FirstQuarter;
2018-01-31;\FullMoon;
2018-02-07;\LastQuarter;
2018-02-15;\NewMoon;
2018-02-23;\FirstQuarter;
2018-03-02;\FullMoon;
2018-03-09;\LastQuarter;
2018-03-17;\NewMoon;
2018-03-24;\FirstQuarter;
2018-03-31;\FullMoon;
2018-04-08;\LastQuarter;
2018-04-16;\NewMoon;
2018-04-22;\FirstQuarter;
2018-04-30;\FullMoon;
2018-05-08;\LastQuarter;
2018-05-15;\NewMoon;
2018-05-22;\FirstQuarter;
2018-05-29;\FullMoon;
2018-06-06;\LastQuarter;
2018-06-13;\NewMoon;
2018-06-20;\FirstQuarter;
2018-06-28;\FullMoon;
2018-07-06;\LastQuarter;
2018-07-13;\NewMoon;
2018-07-19;\FirstQuarter;
2018-07-27;\FullMoon;
2018-08-04;\LastQuarter;
2018-08-11;\NewMoon;
2018-08-18;\FirstQuarter;
2018-08-26;\FullMoon;
2018-09-03;\LastQuarter;
2018-09-09;\NewMoon;
2018-09-17;\FirstQuarter;
2018-09-25;\FullMoon;
2018-10-02;\LastQuarter;
2018-10-09;\NewMoon;
2018-10-16;\FirstQuarter;
2018-10-24;\FullMoon;
2018-10-31;\LastQuarter;
2018-11-07;\NewMoon;
2018-11-15;\FirstQuarter;
2018-11-23;\FullMoon;
2018-11-30;\LastQuarter;
2018-12-07;\NewMoon;
2018-12-15;\FirstQuarter;
2018-12-22;\FullMoon;
2018-12-29;\LastQuarter;
